fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Tracy Cortez vs Justine Kish,Tracy Cortez,Justine Kish,Tracy Cortez,UFC Fight Night: Whittaker vs. Gastelum,Keith Peterson,Decision - Split,04.17.2021,UFC APEX,no,Main Card,8,7,1,3,0,0,27.0,33.0,United States,Russia,94%,6%,0,1,66 of 112,55 of 119,58%,46%,84 of 138,72 of 140,3 of 5,0 of 1,60%,0%,1,0,3,5:00,"5' 5""","5' 5""","65""","64""",Orthodox,Orthodox
Luis Pena vs Alex Munoz,Luis Pena,Alex Munoz,Luis Pena,UFC Fight Night: Whittaker vs. Gastelum,Herb Dean,Decision - Split,04.17.2021,UFC APEX,no,Main Card,8,6,3,1,0,0,27.0,31.0,United States,United States,72%,28%,0,0,90 of 195,80 of 169,46%,47%,90 of 195,82 of 172,0 of 0,4 of 9,,44%,0,0,3,5:00,"6' 3""","5' 9""","75""","72""",Southpaw,Switch
Alexandr Romanov vs Juan Espino,Alexandr Romanov,Juan Espino,Alexandr Romanov,UFC Fight Night: Whittaker vs. Gastelum,Mark Smith,Decision - Split,04.17.2021,UFC APEX,no,Preliminary Card,13,10,0,1,0,0,30.0,40.0,Moldova,Spain,23%,77%,0,0,32 of 53,12 of 22,60%,54%,53 of 77,44 of 56,2 of 4,4 of 5,50%,80%,0,0,3,1:05,"6' 2""","6' 3""","75""","80""",Southpaw,Orthodox
Jessica Penne vs Lupita Godinez,Jessica Penne,Lupita Godinez,Jessica Penne,UFC Fight Night: Whittaker vs. Gastelum,Chris Tognoni,Decision - Split,04.17.2021,UFC APEX,no,Preliminary Card,12,5,5,0,0,0,38.0,27.0,United States,Mexico,86%,14%,0,0,31 of 87,40 of 74,35%,54%,98 of 158,68 of 106,1 of 7,3 of 9,14%,33%,0,0,3,5:00,"5' 5""","5' 2""","67""","61""",Orthodox,Orthodox
Gerald Meerschaert vs Bartosz Fabinski,Bartosz Fabinski,Gerald Meerschaert,Gerald Meerschaert,UFC Fight Night: Whittaker vs. Gastelum,Herb Dean,Submission,04.17.2021,UFC APEX,no,Preliminary Card,15,31,4,14,0,0,34.0,33.0,Poland,United States,36%,64%,0,0,6 of 13,8 of 10,46%,80%,16 of 23,12 of 14,1 of 1,0 of 0,100%,,0,1,1,2:00,"6' 0""","6' 1""","75""","77""",Orthodox,Southpaw
Austin Hubbard vs Dakota Bush,Austin Hubbard,Dakota Bush,Austin Hubbard,UFC Fight Night: Whittaker vs. Gastelum,Keith Peterson,Decision - Unanimous,04.17.2021,UFC APEX,no,Preliminary Card,12,8,5,2,0,0,29.0,26.0,United States,United States,22%,78%,0,0,67 of 115,41 of 104,58%,39%,126 of 181,54 of 122,1 of 1,1 of 6,100%,16%,0,0,3,5:00,"5' 10""","5' 10""","71""","73""",Orthodox,Orthodox
Tony Gravely vs Anthony Birchak,Tony Gravely,Anthony Birchak,Tony Gravely,UFC Fight Night: Whittaker vs. Gastelum,Mark Smith,KO/TKO,04.17.2021,UFC APEX,no,Preliminary Card,20,15,6,7,0,0,29.0,34.0,United States,United States,92%,8%,2,0,39 of 75,18 of 45,52%,40%,61 of 105,30 of 59,4 of 6,0 of 1,66%,0%,0,1,2,1:31,"5' 5""","5' 8""","69""","69""",Orthodox,Orthodox
Marvin Vettori vs Kevin Holland,Marvin Vettori,Kevin Holland,Marvin Vettori,UFC Fight Night: Vettori vs. Holland,Herb Dean,Decision - Unanimous,04.10.2021,UFC APEX,no,Main Event,16,21,3,6,1,0,27.0,28.0,Italy,United States,79%,21%,0,0,24 of 64,37 of 103,37%,35%,152 of 250,138 of 214,11 of 17,0 of 0,64%,,1,0,5,5:00,"6' 0""","6' 3""","74""","81""",Southpaw,Orthodox
Arnold Allen vs Sodiq Yusuff,Arnold Allen,Sodiq Yusuff,Arnold Allen,UFC Fight Night: Vettori vs. Holland,Jason Herzog,Decision - Unanimous,04.10.2021,UFC APEX,no,Co-Main Event,16,11,1,1,0,0,27.0,27.0,England,Nigeria,47%,53%,1,0,21 of 61,47 of 113,34%,41%,26 of 68,79 of 164,2 of 5,0 of 1,40%,0%,0,1,3,5:00,"5' 8""","5' 9""","70""","71""",Southpaw,Orthodox
Julian Marquez vs Sam Alvey,Sam Alvey,Julian Marquez,Julian Marquez,UFC Fight Night: Vettori vs. Holland,Mark Smith,Submission,04.10.2021,UFC APEX,no,Main Card,33,8,14,2,1,0,34.0,30.0,United States,United States,16%,84%,0,1,29 of 78,61 of 100,37%,61%,29 of 78,62 of 101,0 of 0,0 of 0,,,0,1,2,2:07,"6' 2""","6' 2""","75""","72""",Southpaw,Orthodox
Mackenzie Dern vs Nina Nunes,Nina Nunes,Mackenzie Dern,Mackenzie Dern,UFC Fight Night: Vettori vs. Holland,Chris Tognoni,Submission,04.10.2021,UFC APEX,no,Main Card,10,10,6,1,0,0,35.0,28.0,United States,United States,23%,77%,0,0,4 of 7,12 of 22,57%,54%,5 of 8,31 of 44,0 of 0,1 of 2,,50%,0,1,1,4:48,"5' 5""","5' 4""","64""","63""",Orthodox,Orthodox
Daniel Rodriguez vs Mike Perry,Mike Perry,Daniel Rodriguez,Daniel Rodriguez,UFC Fight Night: Vettori vs. Holland,Mike Beltran,Decision - Unanimous,04.10.2021,UFC APEX,no,Main Card,14,13,7,2,0,0,29.0,34.0,United States,United States,66%,34%,0,0,61 of 132,129 of 235,46%,54%,65 of 137,145 of 252,2 of 4,0 of 1,50%,0%,0,0,3,5:00,"5' 10""","6' 1""","71""","74""",Orthodox,Southpaw
Joe Solecki vs Jim Miller,Jim Miller,Joe Solecki,Joe Solecki,UFC Fight Night: Vettori vs. Holland,Herb Dean,Decision - Unanimous,04.10.2021,UFC APEX,no,Preliminary Card,32,10,15,2,0,0,37.0,27.0,United States,United States,24%,76%,0,0,11 of 34,19 of 42,32%,45%,45 of 76,93 of 146,0 of 0,1 of 4,,25%,0,0,3,5:00,"5' 8""","5' 9""","71""","70""",Southpaw,Orthodox
Mateusz Gamrot vs Scott Holtzman,Scott Holtzman,Mateusz Gamrot,Mateusz Gamrot,UFC Fight Night: Vettori vs. Holland,Jason Herzog,KO/TKO,04.10.2021,UFC APEX,no,Preliminary Card,14,17,4,1,0,0,37.0,30.0,United States,Poland,14%,86%,0,1,10 of 48,39 of 63,20%,61%,10 of 48,41 of 65,0 of 1,2 of 5,0%,40%,0,0,2,1:22,"5' 9""","5' 10""","69""","70""",Orthodox,Southpaw
John Makdessi vs Ignacio Bahamondes,John Makdessi,Ignacio Bahamondes,John Makdessi,UFC Fight Night: Vettori vs. Holland,Chris Tognoni,Decision - Split,04.10.2021,UFC APEX,no,Preliminary Card,17,11,7,3,0,0,35.0,23.0,Canada,Chile,72%,28%,0,0,124 of 232,112 of 312,53%,35%,145 of 257,117 of 318,0 of 0,0 of 4,,0%,0,0,3,5:00,"5' 8""","6' 3""","68""","75""",Orthodox,Orthodox
Jarjis Danho vs Yorgan De Castro,Yorgan De Castro,Jarjis Danho,Jarjis Danho,UFC Fight Night: Vettori vs. Holland,Mike Beltran,KO/TKO,04.10.2021,UFC APEX,no,Preliminary Card,6,5,2,1,0,1,33.0,37.0,Cape Verde,Assyria,13%,87%,0,1,2 of 11,10 of 12,18%,83%,5 of 15,10 of 12,0 of 0,0 of 1,,0%,0,0,1,3:02,"6' 0""","6' 3""","74""","74""",Orthodox,Orthodox
Jack Shore vs Hunter Azure,Hunter Azure,Jack Shore,Jack Shore,UFC Fight Night: Vettori vs. Holland,Herb Dean,Decision - Split,04.10.2021,UFC APEX,no,Preliminary Card,9,13,1,0,0,0,29.0,26.0,United States,Wales,90%,10%,0,0,45 of 80,36 of 57,56%,63%,78 of 121,57 of 84,0 of 6,6 of 13,0%,46%,1,0,3,5:00,"5' 8""","5' 8""","69""","71""",Orthodox,Orthodox
Luis Saldana vs Jordan Griffin,Luis Saldana,Jordan Griffin,Luis Saldana,UFC Fight Night: Vettori vs. Holland,Jason Herzog,Decision - Unanimous,04.10.2021,UFC APEX,no,Preliminary Card,14,18,6,8,0,0,30.0,31.0,United States,United States,31%,69%,0,0,36 of 88,33 of 69,40%,47%,40 of 94,39 of 77,0 of 0,4 of 7,,57%,1,2,3,5:00,"5' 11""","5' 10""","73""","73""",Orthodox,Southpaw
Da Un Jung vs William Knight,Da Un Jung,William Knight,Da Un Jung,UFC Fight Night: Vettori vs. Holland,Mark Smith,Decision - Unanimous,04.10.2021,UFC APEX,no,Preliminary Card,13,9,2,1,1,0,27.0,33.0,South Korea,United States,57%,43%,0,0,28 of 46,17 of 29,60%,58%,73 of 99,38 of 50,8 of 9,0 of 3,88%,0%,0,0,3,5:00,"6' 4""","5' 10""","78""","73""",Orthodox,Orthodox
Impa Kasanganay vs Sasha Palatnikov,Impa Kasanganay,Sasha Palatnikov,Impa Kasanganay,UFC Fight Night: Vettori vs. Holland,Chris Tognoni,Submission,04.10.2021,UFC APEX,no,Preliminary Card,8,6,1,2,0,0,27.0,32.0,United States,Hong Kong,79%,21%,0,0,13 of 29,13 of 24,44%,54%,21 of 41,31 of 43,2 of 6,0 of 0,33%,,1,0,2,0:26,"5' 11""","6' 1""","75""","72""",Orthodox,Switch
Francis NGannou vs Stipe Miocic,Stipe Miocic,Francis Ngannou,Francis Ngannou,UFC 260: Miocic vs. Ngannou,Herb Dean,KO/TKO,03.27.2021,UFC APEX,yes,Main Event,20,15,3,3,0,0,38.0,34.0,,Cameroon,58%,42%,0,2,12 of 13,36 of 56,92%,64%,12 of 13,38 of 58,0 of 1,1 of 2,0%,50%,0,0,2,0:52,"6' 4""","6' 4""","80""","83""",Orthodox,Orthodox
Vicente Luque vs Tyron Woodley,Tyron Woodley,Vicente Luque,Vicente Luque,UFC 260: Miocic vs. Ngannou,Jason Herzog,Submission,03.27.2021,UFC APEX,no,Co-Main Event,19,19,6,7,1,1,38.0,29.0,,Brazil,77%,23%,0,0,18 of 40,25 of 33,45%,75%,21 of 43,41 of 49,0 of 1,0 of 0,0%,,0,1,1,3:56,"5' 9""","5' 11""","74""","75""",Orthodox,Orthodox
Sean OMalley vs Thomas Almeida,Sean OMalley,Thomas Almeida,Sean OMalley,UFC 260: Miocic vs. Ngannou,Mark Smith,KO/TKO,03.27.2021,UFC APEX,no,Main Card,12,22,1,4,0,0,26.0,29.0,United States,Brazil,15%,85%,2,0,86 of 149,25 of 71,57%,35%,91 of 157,25 of 71,0 of 0,1 of 2,,50%,0,0,3,3:52,"5' 11""","5' 7""","72""","70""",Switch,Southpaw
Miranda Maverick vs Gillian Robertson,Gillian Robertson,Miranda Maverick,Miranda Maverick,UFC 260: Miocic vs. Ngannou,Jason Herzog,Decision - Unanimous,03.27.2021,UFC APEX,no,Main Card,9,8,5,2,0,0,25.0,23.0,Canada,United States,26%,74%,0,0,27 of 68,71 of 150,39%,47%,32 of 75,131 of 217,2 of 4,3 of 4,50%,75%,1,0,3,5:00,"5' 5""","5' 3""","63""","65""",Orthodox,Southpaw
Jamie Mullarkey vs Khama Worthy,Jamie Mullarkey,Khama Worthy,Jamie Mullarkey,UFC 260: Miocic vs. Ngannou,Chris Tognoni,KO/TKO,03.27.2021,UFC APEX,no,Main Card,12,16,4,7,0,0,26.0,34.0,Australia,United States,84%,16%,1,0,6 of 13,5 of 10,46%,50%,6 of 13,5 of 10,0 of 0,0 of 0,,,0,0,1,0:46,"6' 0""","5' 11""","74""","74""",Orthodox,Orthodox
Alonzo Menifield vs Fabio Cherant,Alonzo Menifield,Fabio Cherant,Alonzo Menifield,UFC 260: Miocic vs. Ngannou,Herb Dean,Submission,03.27.2021,UFC APEX,no,Preliminary Card,9,7,2,1,0,0,33.0,26.0,United States,United States,82%,18%,0,0,3 of 3,0 of 1,100%,0%,3 of 3,0 of 1,1 of 1,0 of 0,100%,,1,0,1,1:11,"6' 0""","6' 1""","76""","74""",Orthodox,Southpaw
Abubakar Nurmagomedov vs Jared Gooden,Jared Gooden,Abubakar Nurmagomedov,Abubakar Nurmagomedov,UFC 260: Miocic vs. Ngannou,Mark Smith,Decision - Unanimous,03.27.2021,UFC APEX,no,Preliminary Card,17,15,5,3,0,1,27.0,31.0,United States,Russia,83%,17%,0,0,43 of 136,60 of 120,31%,50%,111 of 207,100 of 164,0 of 0,1 of 5,,20%,0,0,3,5:00,"6' 0""","5' 11""","77""","72""",Orthodox,Orthodox
Michal Oleksiejczuk vs Modestas Bukauskas,Modestas Bukauskas,Michal Oleksiejczuk,Michal Oleksiejczuk,UFC 260: Miocic vs. Ngannou,Jason Herzog,Decision - Split,03.27.2021,UFC APEX,no,Preliminary Card,11,14,3,4,0,0,27.0,26.0,Lithuania,Poland,36%,64%,0,0,58 of 167,56 of 122,34%,45%,62 of 172,77 of 144,0 of 1,0 of 2,0%,0%,0,0,3,5:00,"6' 3""","6' 0""","78""","74""",Switch,Southpaw
Omar Morales vs Shane Young,Shane Young,Omar Morales,Omar Morales,UFC 260: Miocic vs. Ngannou,Chris Tognoni,Decision - Unanimous,03.27.2021,UFC APEX,no,Preliminary Card,13,10,5,1,0,0,27.0,35.0,New Zealand,Venezuela,18%,82%,0,0,46 of 105,69 of 144,43%,47%,59 of 120,74 of 150,1 of 5,2 of 2,20%,100%,0,0,3,5:00,"5' 8""","5' 11""","72""","73""",Orthodox,Orthodox
Marc Andre Barriault vs Abu Azaitar,Marc Andre Barriault,Abu Azaitar,Marc Andre Barriault,UFC 260: Miocic vs. Ngannou,Jerin Valel,KO/TKO,03.27.2021,UFC APEX,no,Preliminary Card,11,14,4,2,0,1,31.0,35.0,Canada,Germany,79%,21%,1,0,141 of 275,108 of 219,51%,49%,190 of 339,142 of 261,0 of 1,0 of 3,0%,0%,0,0,3,4:56,"6' 1""","5' 9""","74""","76""",Orthodox,Orthodox
Derek Brunson vs Kevin Holland,Derek Brunson,Kevin Holland,Derek Brunson,UFC Fight Night: Brunson vs. Holland,Herb Dean,Decision - Unanimous,03.20.2021,UFC APEX,no,Main Event,21,21,7,5,0,0,37.0,28.0,United States,United States,79%,21%,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,5,5:00,"6' 1""","6' 3""","77""","81""",Southpaw,Orthodox
Max Griffin vs Kenan Song,Song Kenan,Max Griffin,Max Griffin,UFC Fight Night: Brunson vs. Holland,Keith Peterson,KO/TKO,03.20.2021,UFC APEX,no,Co-Main Event,20,16,5,8,0,0,31.0,35.0,China,United States,61%,39%,0,1,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28,0 of 0,0 of 1,,0%,0,0,1,2:20,"6' 0""","5' 11""","71""","76""",Orthodox,Orthodox
Montserrat Conejo Ruiz vs Cheyanne Vlismas,Cheyanne Vlismas,Montserrat Conejo Ruiz,Montserrat Conejo Ruiz,UFC Fight Night: Brunson vs. Holland,Mark Smith,Decision - Unanimous,03.20.2021,UFC APEX,no,Main Card,5,9,1,1,0,0,25.0,28.0,United States,Mexico,75%,25%,0,0,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168,0 of 0,4 of 5,,80%,0,2,3,5:00,"5' 3""","5' 0""","63""","61""",Switch,Southpaw
Adrian Yanez vs Gustavo Lopez,Adrian Yanez,Gustavo Lopez,Adrian Yanez,UFC Fight Night: Brunson vs. Holland,Chris Tognoni,KO/TKO,03.20.2021,UFC APEX,no,Main Card,12,12,3,5,0,0,27.0,31.0,United States,United States,12%,88%,2,0,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51,0 of 0,0 of 1,,0%,0,0,3,0:27,"5' 7""","5' 5""","70""","67""",Orthodox,Orthodox
Tai Tuivasa vs Harry Hunsucker,Tai Tuivasa,Harry Hunsucker,Tai Tuivasa,UFC Fight Night: Brunson vs. Holland,Herb Dean,KO/TKO,03.20.2021,UFC APEX,no,Main Card,11,7,3,3,0,0,28.0,32.0,Australia,United States,90%,10%,1,0,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6,0 of 0,0 of 0,,,0,0,1,0:49,"6' 2""","6' 2""","75""","75""",Southpaw,Orthodox
Macy Chiasson vs Marion Reneau,Marion Reneau,Macy Chiasson,Macy Chiasson,UFC Fight Night: Brunson vs. Holland,Mark Smith,Decision - Unanimous,03.20.2021,UFC APEX,no,Preliminary Card,9,6,6,1,1,0,43.0,29.0,United States,United States,15%,85%,0,0,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184,2 of 4,1 of 1,50%,100%,0,0,3,5:00,"5' 6""","5' 11""","68""","72""",Orthodox,Orthodox
Grant Dawson vs Leonardo Santos,Leonardo Santos,Grant Dawson,Grant Dawson,UFC Fight Night: Brunson vs. Holland,Chris Tognoni,KO/TKO,03.20.2021,UFC APEX,no,Preliminary Card,18,16,3,1,1,0,41.0,27.0,Brazil,United States,70%,30%,0,0,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132,1 of 2,1 of 13,50%,7%,0,0,3,4:59,"6' 0""","5' 10""","75""","72""",Orthodox,Switch
Trevin Giles vs Roman Dolidze,Trevin Giles,Roman Dolidze,Trevin Giles,UFC Fight Night: Brunson vs. Holland,Herb Dean,Decision - Unanimous,03.20.2021,UFC APEX,no,Preliminary Card,13,8,2,0,0,0,28.0,32.0,United States,Georgia,21%,79%,0,0,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110,1 of 2,1 of 3,50%,33%,1,2,3,5:00,"6' 0""","6' 2""","74""","76""",Orthodox,Orthodox
Montel Jackson vs Jesse Strader,Montel Jackson,Jesse Strader,Montel Jackson,UFC Fight Night: Brunson vs. Holland,Keith Peterson,KO/TKO,03.20.2021,UFC APEX,no,Preliminary Card,9,5,2,1,0,0,28.0,29.0,United States,United States,8%,92%,2,0,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25,0 of 0,0 of 0,,,0,0,1,1:58,"5' 10""","5' 7""","75""","70""",Southpaw,Orthodox
Bruno Silva vs JP Buys,Bruno Silva,JP Buys,Bruno Silva,UFC Fight Night: Brunson vs. Holland,Mark Smith,KO/TKO,03.20.2021,UFC APEX,no,Preliminary Card,9,10,2,5,0,2,24.0,31.0,South Africa,Brazil,82%,18%,3,0,37 of 61,17 of 56,60%,30%,62 of 89,37 of 76,1 of 2,0 of 1,50%,0%,0,1,2,2:56,"5' 4""","5' 5""","65""","67""",Orthodox,Orthodox
Leon Edwards vs Belal Muhammad,Leon Edwards,Belal Muhammad,,UFC Fight Night: Edwards vs. Muhammad,Herb Dean,Could Not Continue,03.13.2021,UFC APEX,no,Main Event,18,18,3,3,0,0,29.0,32.0,United Kingdom,United States,17%,83%,0,0,19 of 39,8 of 26,48%,30%,20 of 40,14 of 32,0 of 1,0 of 0,0%,,0,0,2,0:18,"6' 2""","5' 11""","74""","72""",Southpaw,Orthodox
Ryan Spann vs Misha Cirkunov,Misha Cirkunov,Ryan Spann,Ryan Spann,UFC Fight Night: Edwards vs. Muhammad,Mark Smith,KO/TKO,03.13.2021,UFC APEX,no,Co-Main Event,15,18,5,6,0,0,34.0,29.0,Latvia,United States,59%,41%,0,1,5 of 18,16 of 29,27%,55%,5 of 18,16 of 29,0 of 0,0 of 0,,,0,0,1,1:11,"6' 3""","6' 5""","77""","79""",Orthodox,Orthodox
Dan Ige vs Gavin Tucker,Dan Ige,Gavin Tucker,Dan Ige,UFC Fight Night: Edwards vs. Muhammad,Mike Beltran,KO/TKO,03.13.2021,UFC APEX,no,Main Card,14,13,3,1,0,0,29.0,34.0,United States,Canada,30%,70%,1,0,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1,0 of 0,0 of 0,,,0,0,1,0:22,"5' 7""","5' 6""","71""","66""",Orthodox,Southpaw
Davey Grant vs Jonathan Martinez,Jonathan Martinez,Davey Grant,Davey Grant,UFC Fight Night: Edwards vs. Muhammad,Chris Tognoni,KO/TKO,03.13.2021,UFC APEX,no,Main Card,13,10,3,4,0,0,26.0,35.0,United States,United Kingdom,90%,10%,1,1,29 of 71,48 of 110,40%,43%,29 of 71,49 of 111,0 of 0,0 of 1,,0%,0,0,2,3:03,"5' 8""","5' 8""","70""","69""",Southpaw,Orthodox
Matheus Nicolau vs Manel Kape,Manel Kape,Matheus Nicolau,Matheus Nicolau,UFC Fight Night: Edwards vs. Muhammad,,Decision - Split,03.13.2021,UFC APEX,no,Main Card,15,15,5,2,0,1,27.0,28.0,Portugal,Brazil,27%,73%,0,0,61 of 150,55 of 102,40%,53%,73 of 165,76 of 132,0 of 0,2 of 9,,22%,0,1,3,5:00,"5' 5""","5' 6""","68""","66""",Southpaw,Orthodox
Eryk Anders vs Darren Stewart,Eryk Anders,Darren Stewart,,UFC Fight Night: Edwards vs. Muhammad,Herb Dean,Could Not Continue,03.13.2021,UFC APEX,no,Main Card,13,12,5,6,0,0,33.0,30.0,United States,England,77%,23%,1,0,43 of 63,15 of 42,68%,35%,58 of 79,21 of 51,3 of 7,0 of 0,42%,,0,0,1,4:37,"6' 1""","6' 0""","75""","74""",Southpaw,Orthodox
Angela Hill vs Ashley Yoder,Angela Hill,Ashley Yoder,Angela Hill,UFC Fight Night: Edwards vs. Muhammad,Mike Beltran,Decision - Unanimous,03.13.2021,UFC APEX,no,Preliminary Card,8,12,6,9,0,0,33.0,36.0,United States,United States,90%,10%,0,0,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143,1 of 3,2 of 6,33%,33%,0,0,3,5:00,"5' 3""","5' 7""","64""","69""",Orthodox,Southpaw
Charles Jourdain vs Marcelo Rojo,Charles Jourdain,Marcelo Rojo,Charles Jourdain,UFC Fight Night: Edwards vs. Muhammad,Mark Smith,KO/TKO,03.13.2021,UFC APEX,no,Preliminary Card,10,16,3,6,1,0,25.0,32.0,Canada,Argentina,85%,15%,2,0,106 of 220,74 of 204,48%,36%,128 of 248,80 of 211,0 of 1,1 of 2,0%,50%,0,0,3,4:31,"5' 9""","5' 8""","69""","71""",Switch,Orthodox
Rani Yahya vs Ray Rodriguez,Rani Yahya,Ray Rodriguez,Rani Yahya,UFC Fight Night: Edwards vs. Muhammad,Herb Dean,Submission,03.13.2021,UFC APEX,no,Preliminary Card,16,26,7,10,0,1,33.0,36.0,United States,Brazil,10%,90%,0,0,8 of 13,3 of 18,61%,16%,42 of 65,15 of 35,2 of 4,0 of 0,50%,,1,0,2,3:09,"5' 6""","5' 7""","67""","70""",Orthodox,Orthodox
Nasrat Haqparast vs Rafa Garcia,Nasrat Haqparast,Rafa Garcia,Nasrat Haqparast,UFC Fight Night: Edwards vs. Muhammad,Chris Tognoni,Decision - Unanimous,03.13.2021,UFC APEX,no,Preliminary Card,12,12,3,0,0,0,25.0,26.0,Afghanistan,Mexico,87%,13%,0,0,99 of 217,52 of 217,45%,23%,99 of 218,54 of 219,0 of 2,0 of 3,0%,0%,0,0,3,5:00,"5' 10""","5' 7""","72""","70""",Southpaw,Orthodox
JJ Aldrich vs Cortney Casey,Cortney Casey,JJ Aldrich,JJ Aldrich,UFC Fight Night: Edwards vs. Muhammad,Mark Smith,Decision - Split,03.13.2021,UFC APEX,no,Preliminary Card,9,8,8,4,0,0,33.0,28.0,United States,United States,63%,37%,0,0,55 of 131,45 of 80,41%,56%,121 of 202,58 of 99,0 of 1,4 of 7,0%,57%,0,0,3,5:00,"5' 7""","5' 5""","67""","67""",Orthodox,Southpaw
Jinh Yu Frey vs Gloria de Paula,Gloria de Paula,Jinh Yu Frey,Jinh Yu Frey,UFC Fight Night: Edwards vs. Muhammad,Mike Beltran,Decision - Unanimous,03.13.2021,UFC APEX,no,Preliminary Card,5,9,2,6,0,0,25.0,35.0,Brazil,United States,22%,78%,0,0,31 of 63,24 of 79,49%,30%,51 of 95,50 of 125,0 of 0,2 of 3,,66%,0,2,3,5:00,"5' 5""","5' 3""","67""","65""",Orthodox,Southpaw
Matthew Semelsberger vs Jason Witt,Matthew Semelsberger,Jason Witt,Matthew Semelsberger,UFC Fight Night: Edwards vs. Muhammad,Chris Tognoni,KO/TKO,03.13.2021,UFC APEX,no,Preliminary Card,7,18,2,6,0,0,28.0,34.0,United States,United States,43%,57%,1,0,3 of 5,4 of 4,60%,100%,3 of 5,4 of 4,0 of 0,0 of 0,,,0,0,1,0:16,"6' 1""","5' 10""","75""","70""",Switch,Orthodox
Jan Blachowicz vs Israel Adesanya,Jan Blachowicz,Israel Adesanya,Jan Blachowicz,UFC 259: Blachowicz vs. Adesanya,Herb Dean,Decision - Unanimous,03.06.2021,UFC APEX,yes,Main Event,27,20,8,0,0,0,38.0,31.0,Poland,Nigeria,34%,66%,0,0,107 of 193,78 of 161,55%,48%,184 of 276,99 of 182,3 of 5,0 of 0,60%,,0,0,5,5:00,"6' 2""","6' 4""","78""","80""",Orthodox,Switch
Amanda Nunes vs Megan Anderson,Amanda Nunes,Megan Anderson,Amanda Nunes,UFC 259: Blachowicz vs. Adesanya,Jason Herzog,Submission,03.06.2021,UFC APEX,yes,Co-Main Event,10,20,4,4,0,0,31.0,32.0,Australia,Brazil,9%,91%,0,0,18 of 25,2 of 5,72%,40%,19 of 26,2 of 5,0 of 0,0 of 1,,0%,2,0,1,2:03,"5' 8""","6' 0""","69""","72""",Orthodox,Orthodox
Aljamain Sterling vs Petr Yan,Petr Yan,Aljamain Sterling,Aljamain Sterling,UFC 259: Blachowicz vs. Adesanya,Mark Smith,DQ,03.06.2021,UFC APEX,yes,Main Card,15,19,1,3,0,0,28.0,31.0,Russia,United States,61%,39%,1,0,86 of 137,97 of 230,62%,42%,103 of 157,119 of 260,7 of 7,1 of 17,100%,5%,0,0,4,4:29,"5' 7""","5' 7""","67""","71""",Switch,Orthodox
Islam Makhachev vs Drew Dober,Islam Makhachev,Drew Dober,Islam Makhachev,UFC 259: Blachowicz vs. Adesanya,Chris Tognoni,Submission,03.06.2021,UFC APEX,no,Main Card,18,23,1,9,0,0,29.0,32.0,Russia,,86%,14%,0,0,15 of 25,10 of 20,60%,50%,102 of 119,14 of 24,3 of 4,0 of 0,75%,,2,0,3,1:37,"5' 10""","5' 8""","70""","70""",Southpaw,Southpaw
Aleksandar Rakic vs Thiago Santos,Thiago Santos,Aleksandar Rakic,Aleksandar Rakic,UFC 259: Blachowicz vs. Adesanya,Herb Dean,Decision - Unanimous,03.06.2021,UFC APEX,no,Main Card,21,13,8,2,0,0,37.0,29.0,Brazil,Serbia,64%,36%,0,0,49 of 97,36 of 89,50%,40%,61 of 109,50 of 103,0 of 1,0 of 2,0%,0%,0,0,3,5:00,"6' 2""","6' 4""","76""","78""",Orthodox,Orthodox
Dominick Cruz vs Casey Kenney,Dominick Cruz,Casey Kenney,Dominick Cruz,UFC 259: Blachowicz vs. Adesanya,Jason Herzog,Decision - Split,03.06.2021,UFC APEX,no,Preliminary Card,22,16,3,2,0,1,35.0,29.0,United States,United States,70%,30%,0,0,89 of 202,74 of 193,44%,38%,115 of 229,74 of 193,2 of 9,0 of 2,22%,0%,0,0,3,5:00,"5' 8""","5' 7""","68""","68""",Orthodox,Southpaw
